Número de iteração,Tempo
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,1995
16,998
17,997
18,1994
19,2993
20,3989
21,32911
22,8976
23,37899
24,65824
25,79787
26,177526
27,171541
28,219413
29,425862
30,828785
31,301522
32,3318
33,670537
34,548859
35,144270
36,316137
37,140444
38,450107
39,879614
40,135584
41,690376
42,345967
43,956625
44,171058
45,500347
46,977367
47,459178
48,764797
49,513011
50,612913
