Número de iteração,Tempo
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,578
13,0
14,310
15,0
16,0
17,1083
18,999
19,995
20,1713
21,1992
22,3986
23,2990
24,8026
25,9238
26,15279
27,15946
28,30895
29,30000
30,60275
31,61794
32,121669
33,125858
34,247859
35,250164
36,505750
37,496689
38,996534
39,990829
40,29953
41,68712
42,85004
43,45680
44,183047
45,138379
46,432076
47,337873
48,889537
49,1829
50,938477
